age,marital_status,has_kids,income_bracket,life_event,recommended_insurance
18,single,1,medium,none,health
33,divorced,0,medium,new_baby,term_life
56,married,1,medium,none,term_life
22,married,0,medium,new_job,health
39,married,1,low,none,term_life
46,divorced,1,medium,none,term_life
20,single,1,high,bought_home,home
29,married,1,medium,new_baby,term_life
43,married,0,medium,new_job,health
33,single,0,low,marriage,health
68,divorced,1,medium,bought_home,whole_life
54,married,0,high,marriage,auto
39,married,0,medium,bought_home,home
46,divorced,0,medium,retirement,whole_life
31,divorced,1,medium,bought_home,home
45,married,0,medium,divorce,term_life
22,divorced,0,low,none,health
64,married,1,medium,retirement,term_life
66,married,1,medium,new_baby,term_life
47,married,0,medium,marriage,auto
63,married,0,medium,bought_home,whole_life
69,single,0,high,none,whole_life
22,divorced,0,low,new_baby,term_life
29,divorced,0,high,divorce,term_life
33,single,1,low,new_baby,term_life
43,divorced,1,medium,none,term_life
43,single,1,low,divorce,health
65,single,0,medium,new_baby,term_life
38,married,1,medium,divorce,term_life
56,single,0,low,bought_home,whole_life
53,divorced,1,medium,bought_home,home
50,divorced,1,high,none,term_life
47,married,0,low,none,health
54,single,1,medium,divorce,auto
40,single,0,medium,new_job,health
27,married,1,medium,retirement,term_life
22,widowed,0,low,new_baby,term_life
53,married,0,low,new_baby,term_life
51,single,1,low,new_job,health
69,married,0,low,new_job,whole_life
48,married,1,low,new_job,term_life
27,married,0,medium,marriage,term_life
36,single,1,high,marriage,auto
49,married,1,high,divorce,term_life
18,married,1,medium,marriage,term_life
22,widowed,0,low,bought_home,home
62,single,0,low,bought_home,whole_life
21,married,0,medium,none,health
33,widowed,0,low,divorce,health
41,single,1,medium,new_baby,term_life
33,widowed,1,medium,retirement,whole_life
19,married,1,medium,none,term_life
66,single,1,medium,new_baby,term_life
45,single,1,high,new_baby,term_life
49,married,1,medium,divorce,term_life
44,single,0,medium,new_job,health
37,married,1,high,new_job,term_life
41,single,1,high,none,auto
29,married,1,medium,new_job,term_life
67,single,0,medium,new_baby,term_life
52,divorced,0,medium,new_job,health
50,widowed,0,high,marriage,term_life
50,widowed,1,high,new_job,health
68,married,1,low,new_baby,term_life
60,single,0,medium,divorce,whole_life
54,married,1,medium,none,term_life
29,single,0,medium,retirement,whole_life
20,single,0,low,new_job,health
18,single,0,high,bought_home,home
50,married,1,medium,bought_home,term_life
57,married,1,high,new_baby,term_life
27,married,0,high,retirement,whole_life
60,married,1,medium,retirement,term_life
61,single,0,medium,marriage,whole_life
46,widowed,1,medium,retirement,whole_life
30,married,1,low,bought_home,term_life
29,married,1,medium,divorce,term_life
48,single,0,low,new_baby,term_life
63,married,1,medium,new_baby,term_life
19,married,1,low,new_job,term_life
68,single,0,low,new_job,whole_life
67,single,1,low,new_job,whole_life
52,married,0,low,bought_home,home
40,married,1,medium,bought_home,term_life
34,single,0,medium,bought_home,home
43,widowed,1,medium,bought_home,home
25,single,1,low,bought_home,home
46,married,0,low,bought_home,home
43,widowed,0,low,divorce,health
27,married,0,low,bought_home,home
43,married,0,high,retirement,whole_life
51,single,0,low,retirement,whole_life
68,single,1,medium,marriage,whole_life
58,widowed,0,low,divorce,whole_life
24,married,0,low,new_job,health
21,divorced,1,medium,none,term_life
67,single,0,medium,bought_home,whole_life
62,single,1,low,marriage,whole_life
28,single,1,low,none,health
46,married,1,medium,retirement,term_life
53,single,1,low,marriage,health
42,divorced,1,low,marriage,health
38,married,0,high,new_baby,term_life
53,widowed,0,medium,retirement,whole_life
27,single,0,medium,retirement,whole_life
54,divorced,1,medium,divorce,term_life
26,married,0,medium,marriage,health
41,married,1,medium,bought_home,term_life
52,divorced,1,medium,retirement,whole_life
66,married,1,medium,marriage,term_life
52,married,1,low,divorce,term_life
65,single,0,medium,bought_home,whole_life
53,single,1,medium,divorce,health
35,widowed,1,high,new_baby,term_life
66,married,0,medium,bought_home,whole_life
56,married,0,medium,marriage,whole_life
49,married,1,low,retirement,term_life
41,single,1,medium,retirement,whole_life
40,single,1,low,marriage,health
49,married,1,medium,marriage,term_life
54,married,1,low,marriage,term_life
29,single,1,medium,new_job,health
66,married,0,low,bought_home,whole_life
30,single,0,medium,retirement,whole_life
40,married,0,high,bought_home,home
42,single,1,low,divorce,health
52,married,1,medium,retirement,term_life
58,single,1,medium,new_job,whole_life
47,married,0,low,marriage,health
34,single,1,medium,new_baby,term_life
66,single,1,low,marriage,whole_life
37,single,1,medium,marriage,auto
65,married,1,medium,new_job,term_life
42,married,0,medium,bought_home,home
39,single,1,medium,retirement,whole_life
30,married,0,low,marriage,health
36,divorced,0,low,retirement,whole_life
66,married,0,medium,none,whole_life
53,single,1,medium,divorce,health
29,married,1,high,bought_home,term_life
58,single,1,high,retirement,whole_life
36,single,1,high,new_baby,term_life
29,widowed,1,medium,divorce,term_life
26,single,1,medium,new_baby,term_life
24,married,0,medium,marriage,term_life
45,married,0,medium,divorce,health
31,married,0,low,retirement,whole_life
48,married,0,high,divorce,health
69,single,0,high,marriage,whole_life
36,single,0,medium,new_job,health
64,married,0,low,bought_home,whole_life
33,single,1,medium,new_baby,term_life
22,single,0,high,marriage,health
52,single,0,high,new_job,health
29,single,0,low,divorce,health
42,single,1,low,divorce,health
69,single,0,high,marriage,whole_life
38,married,0,medium,retirement,whole_life
53,married,1,medium,divorce,term_life
40,divorced,0,high,retirement,whole_life
33,single,0,low,retirement,whole_life
56,single,0,medium,bought_home,whole_life
62,single,0,low,retirement,whole_life
59,married,0,medium,none,whole_life
56,married,0,high,bought_home,whole_life
31,single,1,medium,new_job,health
48,widowed,1,high,new_job,health
22,single,1,medium,divorce,health
52,married,0,medium,divorce,health
40,married,1,low,retirement,term_life
46,divorced,0,medium,bought_home,home
60,married,0,medium,bought_home,whole_life
28,divorced,1,low,none,health
35,single,0,medium,retirement,whole_life
64,divorced,0,medium,none,whole_life
29,single,1,medium,retirement,whole_life
26,divorced,1,medium,new_baby,term_life
27,married,0,medium,new_baby,term_life
61,divorced,1,low,marriage,whole_life
34,married,1,low,retirement,term_life
55,married,0,medium,bought_home,whole_life
24,married,0,medium,divorce,term_life
63,married,0,low,new_job,whole_life
30,single,0,high,marriage,term_life
57,single,0,medium,divorce,whole_life
59,single,1,medium,new_baby,term_life
26,single,1,low,retirement,whole_life
67,divorced,1,medium,marriage,whole_life
44,single,0,medium,retirement,whole_life
19,widowed,1,medium,new_baby,term_life
22,single,1,medium,marriage,health
46,single,1,high,new_baby,term_life
54,married,0,medium,none,term_life
55,married,1,low,new_baby,term_life
36,married,0,medium,bought_home,home
25,married,0,medium,bought_home,home
65,married,0,medium,retirement,whole_life
62,single,1,low,new_job,whole_life
18,widowed,1,low,new_baby,term_life
39,widowed,0,high,divorce,term_life
69,married,0,medium,bought_home,whole_life
34,single,0,high,new_job,health
24,married,0,medium,none,auto
42,single,0,medium,marriage,term_life
62,single,0,medium,marriage,whole_life
21,single,1,high,bought_home,home
53,married,0,medium,new_job,health
23,divorced,0,medium,bought_home,home
48,married,0,low,marriage,health
36,married,1,medium,new_baby,term_life
61,married,1,medium,new_job,term_life
56,single,1,low,retirement,whole_life
44,single,0,low,new_baby,term_life
27,widowed,1,medium,new_baby,term_life
43,single,0,low,new_baby,term_life
36,divorced,1,low,retirement,whole_life
56,married,1,medium,none,term_life
20,married,1,high,divorce,term_life
62,married,1,medium,bought_home,term_life
30,married,1,low,marriage,term_life
67,divorced,0,low,bought_home,whole_life
45,widowed,1,medium,new_job,health
37,married,0,medium,none,health
45,single,1,high,new_job,health
25,married,0,medium,bought_home,home
58,widowed,0,medium,marriage,whole_life
56,single,0,low,retirement,whole_life
18,married,0,medium,bought_home,home
20,married,0,low,new_baby,term_life
30,married,1,high,bought_home,term_life
45,single,0,medium,new_baby,term_life
66,married,0,medium,retirement,whole_life
42,widowed,1,low,bought_home,home
50,single,0,low,none,health
55,single,1,medium,none,whole_life
23,widowed,1,low,new_job,health
61,single,1,medium,retirement,whole_life
62,divorced,1,low,none,whole_life
49,married,0,medium,bought_home,home
62,single,1,high,retirement,whole_life
64,divorced,0,medium,marriage,whole_life
38,married,0,medium,new_baby,term_life
33,married,1,low,bought_home,term_life
38,single,0,low,new_baby,term_life
28,married,1,medium,new_baby,term_life
54,single,1,medium,retirement,whole_life
53,single,1,medium,retirement,whole_life
52,widowed,1,low,new_job,health
36,single,0,low,new_baby,term_life
37,married,0,low,new_job,health
35,single,1,high,new_baby,term_life
64,married,0,low,new_job,whole_life
58,single,1,medium,new_job,whole_life
66,widowed,1,low,marriage,whole_life
31,married,1,medium,new_job,term_life
32,single,0,medium,retirement,whole_life
48,single,0,high,new_job,health
18,single,0,high,new_baby,term_life
20,married,0,medium,new_job,health
33,single,1,high,none,term_life
40,divorced,0,high,divorce,term_life
28,married,0,high,new_baby,term_life
29,single,0,high,none,health
27,married,1,low,new_baby,term_life
49,married,1,medium,retirement,term_life
33,single,0,low,divorce,health
25,single,0,low,divorce,health
55,single,0,high,retirement,whole_life
29,married,0,medium,divorce,term_life
41,married,1,medium,retirement,term_life
45,married,1,high,none,term_life
25,divorced,0,high,marriage,term_life
45,divorced,0,high,new_baby,term_life
53,married,1,low,retirement,term_life
43,divorced,0,low,new_baby,term_life
25,single,1,medium,none,health
67,single,0,low,marriage,whole_life
45,single,0,low,none,health
45,single,0,medium,divorce,health
54,married,1,medium,new_baby,term_life
58,widowed,1,medium,bought_home,whole_life
53,single,0,medium,marriage,auto
44,single,0,medium,divorce,term_life
34,married,0,low,marriage,health
26,widowed,0,low,divorce,health
50,single,0,medium,none,auto
37,married,0,medium,retirement,whole_life
30,single,1,medium,new_baby,term_life
45,single,0,low,new_job,health
65,widowed,0,high,new_job,whole_life
46,widowed,1,medium,none,term_life
30,single,0,medium,new_baby,term_life
63,widowed,1,medium,new_baby,term_life
52,married,0,high,none,auto
23,divorced,1,medium,new_baby,term_life
35,married,1,medium,retirement,term_life
68,married,1,high,none,term_life
22,married,1,medium,retirement,term_life
64,married,0,medium,new_baby,term_life
42,single,1,medium,none,auto
19,single,0,medium,new_baby,term_life
27,single,0,low,none,health
47,married,0,medium,new_baby,term_life
67,single,1,high,retirement,whole_life
62,married,0,high,bought_home,whole_life
22,widowed,1,medium,retirement,whole_life
50,single,1,medium,new_baby,term_life
18,married,1,low,none,term_life
35,married,1,high,new_job,term_life
49,divorced,0,high,retirement,whole_life
64,single,0,medium,retirement,whole_life
66,married,0,high,divorce,whole_life
28,divorced,0,medium,new_job,health
38,widowed,0,medium,new_baby,term_life
43,married,0,low,bought_home,home
42,married,0,medium,none,health
39,married,1,medium,divorce,term_life
44,divorced,1,medium,new_baby,term_life
66,married,0,medium,marriage,whole_life
30,single,1,high,bought_home,home
50,widowed,0,low,retirement,whole_life
51,married,0,medium,marriage,auto
58,married,1,medium,retirement,term_life
52,single,0,medium,retirement,whole_life
18,married,0,medium,marriage,auto
38,single,1,low,bought_home,home
65,married,1,low,marriage,term_life
23,single,1,medium,new_baby,term_life
45,married,1,medium,divorce,term_life
34,widowed,1,low,divorce,health
22,single,0,medium,marriage,health
48,widowed,0,medium,new_baby,term_life
22,married,0,medium,divorce,health
55,divorced,0,high,new_baby,term_life
20,married,1,low,new_baby,term_life
40,married,0,low,retirement,whole_life
54,married,1,medium,divorce,term_life
54,divorced,1,medium,divorce,term_life
27,married,1,medium,retirement,term_life
27,single,1,high,marriage,health
